Dataset,Prior,Model,BootstrapID,validity,lof_context,compactness,n_proximity,causal_compact_val
5heloc,min,CausalCACTUS,1,0.84,1.212366298,0.1855555556,0.4198883148,0.282037037
5heloc,min,CausalCACTUS,2,0.78,1.24832748,0.2488888889,0.3626531798,0.3593518519
5heloc,min,CausalCACTUS,3,0.78,1.310387058,0.2433333333,0.3366214662,0.3562962963
5heloc,min,CausalCACTUS,4,0.8,1.207654974,0.2144444444,0.3846263448,0.3249074074
5heloc,mod,LatentCF++,0,1,1.388820351,0.03333333333,0.3539562987,0.22125
5heloc,mod,LatentCF++,1,1,1.282794531,0.03444444444,0.3959430698,0.2197222222
5heloc,mod,LatentCF++,2,1,1.198567337,0.03222222222,0.3891391136,0.2209722222
5heloc,mod,LatentCF++,3,1,1.28647509,0.03111111111,0.412768168,0.2231944444
5heloc,mod,LatentCF++,4,1,1.371024986,0.03666666667,0.4452960411,0.1979166667
5heloc,mod,Prototype C,0,1,3.024296813,0.03111111111,1.762280382,0.05680555556
5heloc,mod,Prototype C,1,1,2.935330869,0.04111111111,1.714692268,0.05597222222
5heloc,mod,Prototype C,2,1,2.709128505,0.03444444444,1.675306427,0.06708333333
5heloc,mod,Prototype C,3,1,2.857408311,0.03111111111,1.723507051,0.05013888889
5heloc,mod,Prototype C,4,1,2.928275823,0.03111111111,1.727133323,0.05222222222
5heloc,mod,Prototype D,0,1,2.029727732,0.01555555556,1.248561439,0.04208333333
5heloc,mod,Prototype D,1,1,1.987240081,0.02777777778,1.280234031,0.06222222222
5heloc,mod,Prototype D,2,1,2.003781094,0.01444444444,1.275938501,0.04375
5heloc,mod,Prototype D,3,1,1.990229048,0.01777777778,1.182430563,0.05152777778
5heloc,mod,Prototype D,4,1,2.103197819,0.01666666667,1.332974528,0.05166666667
5heloc,mod,CACTUS,0,0.36,1.269690635,0.08111111111,0.3950135117,0.2429166667
5heloc,mod,CACTUS,1,0.62,1.136392521,0.05777777778,0.4699909868,0.1998611111
5heloc,mod,CACTUS,2,0.46,1.091689206,0.04222222222,0.4786634957,0.1966666667
5heloc,mod,CACTUS,3,0.62,1.140577723,0.06888888889,0.4494510656,0.2266666667
5heloc,mod,CACTUS,4,0.62,1.195046363,0.04111111111,0.4756213128,0.2147222222
5heloc,mod,CausalCACTUS,0,0.78,1.269282219,0.2488888889,0.3492886834,0.35875
5heloc,mod,CausalCACTUS,1,0.78,1.14581785,0.24,0.3681890104,0.3494444444
5heloc,mod,CausalCACTUS,2,0.82,1.086091709,0.2,0.3916767126,0.3183333333
5heloc,mod,CausalCACTUS,3,0.8,1.150676484,0.2222222222,0.3618349077,0.3425
5heloc,mod,CausalCACTUS,4,0.84,1.194244493,0.1833333333,0.4034411737,0.3208333333
